timestamp,temperature_C,humidity,mq_raw,mq_gas_detected,anomaly_flag,anomaly_type,anomaly_source
2026-01-29T00:00:00.598+03:00,19.1,51.0,1,0,0,none,none
2026-01-29T00:00:02.853+03:00,19.1,51.1,1,0,0,none,none
2026-01-29T00:00:05.107+03:00,19.1,51.1,1,0,0,none,none
2026-01-29T00:00:07.366+03:00,19.1,51.1,1,0,0,none,none
2026-01-29T00:00:09.620+03:00,19.1,51.1,1,0,0,none,none
2026-01-29T00:00:11.875+03:00,19.1,51.1,1,0,0,none,none
2026-01-29T00:00:14.134+03:00,19.1,51.2,1,0,0,none,none
2026-01-29T00:00:16.388+03:00,19.1,51.2,1,0,0,none,none
2026-01-29T00:00:18.646+03:00,19.2,51.2,1,0,0,none,none
2026-01-29T00:00:20.906+03:00,19.1,51.2,1,0,0,none,none
2026-01-29T00:00:23.166+03:00,19.1,51.2,1,0,0,none,none
2026-01-29T00:00:25.421+03:00,19.1,51.2,1,0,0,none,none
2026-01-29T00:00:27.678+03:00,19.1,51.2,1,0,0,none,none
2026-01-29T00:00:29.932+03:00,19.1,51.2,1,0,0,none,none
2026-01-29T00:00:32.187+03:00,19.1,51.2,1,0,0,none,none
2026-01-29T00:00:34.442+03:00,19.1,51.2,1,0,0,none,none
2026-01-29T00:00:36.697+03:00,19.1,51.2,1,0,0,none,none
2026-01-29T00:00:38.954+03:00,19.1,51.2,1,0,0,none,none
2026-01-29T00:00:41.209+03:00,19.1,51.2,1,0,0,none,none
2026-01-29T00:00:43.463+03:00,19.1,51.2,1,0,0,none,none
2026-01-29T00:00:45.718+03:00,19.1,51.2,1,0,0,none,none
2026-01-29T00:00:47.973+03:00,19.1,51.2,1,0,0,none,none
2026-01-29T00:00:50.228+03:00,19.1,51.1,1,0,0,none,none
2026-01-29T00:00:52.483+03:00,19.1,51.2,1,0,0,none,none
2026-01-29T00:00:54.742+03:00,19.1,51.2,1,0,0,none,none
2026-01-29T00:00:56.996+03:00,19.1,51.2,1,0,0,none,none
2026-01-29T00:00:59.251+03:00,19.1,51.2,1,0,0,none,none
2026-01-29T00:01:01.510+03:00,19.1,51.2,1,0,0,none,none
2026-01-29T00:01:03.764+03:00,19.1,51.2,1,0,0,none,none
2026-01-29T00:01:06.022+03:00,19.2,51.4,1,0,0,none,none
2026-01-29T00:01:08.282+03:00,19.1,51.3,1,0,0,none,none
2026-01-29T00:01:10.542+03:00,19.2,51.4,1,0,0,none,none
2026-01-29T00:01:12.797+03:00,19.1,51.3,1,0,0,none,none
2026-01-29T00:01:15.054+03:00,19.1,51.3,1,0,0,none,none
2026-01-29T00:01:17.308+03:00,19.1,51.3,1,0,0,none,none
2026-01-29T00:01:19.564+03:00,19.1,51.3,1,0,0,none,none
2026-01-29T00:01:21.819+03:00,19.1,51.4,1,0,0,none,none
2026-01-29T00:01:24.074+03:00,19.1,51.4,1,0,0,none,none
2026-01-29T00:01:26.329+03:00,19.1,51.3,1,0,0,none,none
2026-01-29T00:01:28.584+03:00,19.1,51.4,1,0,0,none,none
2026-01-29T00:01:30.839+03:00,19.1,51.3,1,0,0,none,none
