timestamp,temperature_C,humidity,pir_motion,anomaly_flag,anomaly_type,anomaly_source
2026-01-16T00:00:01.562224,20.6,41.7,0,0,none,none
2026-01-16T00:00:03.817039,20.6,41.7,1,0,none,none
2026-01-16T00:00:06.071835,20.6,41.7,0,0,none,none
2026-01-16T00:00:08.326528,20.6,41.7,0,0,none,none
2026-01-16T00:00:10.581461,20.6,41.7,1,0,none,none
2026-01-16T00:00:12.836449,20.6,41.7,0,0,none,none
2026-01-16T00:00:15.091080,20.5,41.6,0,0,none,none
2026-01-16T00:00:17.346059,20.6,41.7,0,0,none,none
2026-01-16T00:00:19.601007,20.6,41.7,0,0,none,none
2026-01-16T00:00:21.855869,20.6,41.8,0,0,none,none
2026-01-16T00:00:24.110655,20.6,41.7,0,0,none,none
2026-01-16T00:00:26.365533,20.6,41.7,0,0,none,none
2026-01-16T00:00:28.620343,20.6,41.8,0,0,none,none
2026-01-16T00:00:30.875278,,,0,0,none,none
2026-01-16T00:00:33.130085,20.6,41.8,0,0,none,none
2026-01-16T00:00:35.384816,20.6,41.8,0,0,none,none
2026-01-16T00:00:37.639834,20.5,41.7,0,0,none,none
2026-01-16T00:00:39.894712,20.5,41.7,0,0,none,none
2026-01-16T00:00:42.149395,20.5,41.7,0,0,none,none
2026-01-16T00:00:44.404332,20.5,41.7,0,0,none,none
2026-01-16T00:00:46.659320,20.6,41.8,0,0,none,none
2026-01-16T00:00:48.913913,20.6,41.8,0,0,none,none
2026-01-16T00:00:51.168822,20.5,41.7,0,0,none,none
2026-01-16T00:00:53.423794,20.6,41.8,0,0,none,none
2026-01-16T00:00:55.678569,20.6,41.8,0,0,none,none
2026-01-16T00:00:57.933194,20.5,41.8,0,0,none,none
2026-01-16T00:01:00.269092,20.5,41.8,0,0,none,none
2026-01-16T00:01:02.551117,20.5,41.8,0,0,none,none
2026-01-16T00:01:04.806129,20.6,41.8,0,0,none,none
2026-01-16T00:01:07.061103,20.5,41.8,0,0,none,none
2026-01-16T00:01:09.315820,20.5,41.8,0,0,none,none
2026-01-16T00:01:11.570687,20.5,41.8,0,0,none,none
2026-01-16T00:01:13.825701,20.5,41.8,0,0,none,none
2026-01-16T00:01:16.080400,20.5,41.8,0,0,none,none
2026-01-16T00:01:18.335295,20.5,41.8,0,0,none,none
2026-01-16T00:01:20.590142,20.5,41.8,0,0,none,none
2026-01-16T00:01:22.844990,20.5,41.8,0,0,none,none
2026-01-16T00:01:25.099904,20.5,41.8,0,0,none,none
2026-01-16T00:01:27.354761,20.5,41.8,0,0,none,none
2026-01-16T00:01:29.609424,20.5,41.8,0,0,none,none
2026-01-16T00:01:31.864449,20.5,41.8,0,0,none,none
2026-01-16T00:01:34.119369,20.5,41.8,0,0,none,none
2026-01-16T00:01:36.373585,20.5,41.8,0,0,none,none
2026-01-16T00:01:38.628633,20.5,41.8,0,0,none,none
2026-01-16T00:01:40.885511,20.5,41.8,0,0,none,none
2026-01-16T00:01:43.139851,20.5,41.8,0,0,none,none
2026-01-16T00:01:45.394549,20.5,41.8,0,0,none,none
2026-01-16T00:01:47.649569,20.5,41.8,0,0,none,none
2026-01-16T00:01:49.904385,20.5,41.8,0,0,none,none
2026-01-16T00:01:52.159231,20.5,41.8,0,0,none,none
2026-01-16T00:01:54.414056,20.5,41.9,0,0,none,none
2026-01-16T00:01:56.668836,20.5,41.9,0,0,none,none
2026-01-16T00:01:58.923773,20.5,41.9,0,0,none,none
2026-01-16T00:02:01.178513,20.5,41.9,0,0,none,none
2026-01-16T00:02:03.433275,20.5,41.8,0,0,none,none
2026-01-16T00:02:05.688318,20.5,41.8,0,0,none,none
2026-01-16T00:02:07.943108,20.5,41.8,0,0,none,none
2026-01-16T00:02:10.197786,20.5,41.8,0,0,none,none
2026-01-16T00:02:12.452724,20.5,41.8,0,0,none,none
2026-01-16T00:02:14.707661,20.5,41.8,0,0,none,none
2026-01-16T00:02:16.962147,20.5,41.8,1,0,none,none
2026-01-16T00:02:19.217135,20.5,41.8,0,0,none,none
2026-01-16T00:02:21.472039,20.5,41.8,0,0,none,none
2026-01-16T00:02:23.726833,20.5,41.9,0,0,none,none
2026-01-16T00:02:25.981478,20.5,41.8,0,0,none,none
2026-01-16T00:02:28.236338,20.5,41.8,0,0,none,none
2026-01-16T00:02:30.491014,20.5,41.8,0,0,none,none
2026-01-16T00:02:32.745890,20.5,41.8,0,0,none,none
2026-01-16T00:02:35.000839,20.5,41.9,0,0,none,none
2026-01-16T00:02:37.255494,20.5,41.8,0,0,none,none
2026-01-16T00:02:39.510401,20.5,41.8,0,0,none,none
2026-01-16T00:02:41.765104,20.5,41.8,0,0,none,none
2026-01-16T00:02:44.087168,20.5,41.9,0,0,none,none
2026-01-16T00:02:46.341454,20.5,41.9,0,0,none,none
2026-01-16T00:02:48.596212,20.5,41.9,0,0,none,none
2026-01-16T00:02:50.850378,20.5,41.9,0,0,none,none
2026-01-16T00:02:53.105398,20.5,41.9,0,0,none,none
2026-01-16T00:02:55.360208,20.5,41.9,0,0,none,none
2026-01-16T00:02:57.614616,20.5,41.9,0,0,none,none
2026-01-16T00:02:59.869163,20.5,41.9,0,0,none,none
2026-01-16T00:03:02.123794,20.5,41.9,0,0,none,none
2026-01-16T00:03:04.378076,20.5,41.9,0,0,none,none
2026-01-16T00:03:06.632835,20.5,41.9,0,0,none,none
2026-01-16T00:03:08.887893,20.5,41.9,0,0,none,none
2026-01-16T00:03:11.141894,20.5,41.9,0,0,none,none
2026-01-16T00:03:13.396745,20.5,41.9,0,0,none,none
2026-01-16T00:03:15.651666,20.5,41.9,0,0,none,none
2026-01-16T00:03:17.905896,20.5,41.9,0,0,none,none
2026-01-16T00:03:20.160103,20.5,41.9,0,0,none,none
2026-01-16T00:03:22.414718,20.5,41.9,0,0,none,none
2026-01-16T00:03:24.669231,20.5,41.9,0,0,none,none
2026-01-16T00:03:26.924035,20.5,41.9,0,0,none,none
2026-01-16T00:03:29.178974,20.5,41.9,0,0,none,none
2026-01-16T00:03:31.433688,20.5,41.9,0,0,none,none
2026-01-16T00:03:33.688559,20.5,41.9,0,0,none,none
2026-01-16T00:03:35.943344,20.5,41.9,0,0,none,none
2026-01-16T00:03:38.197900,20.5,41.9,0,0,none,none
2026-01-16T00:03:40.452779,20.5,41.9,0,0,none,none
2026-01-16T00:03:42.707818,20.5,41.9,0,0,none,none
2026-01-16T00:03:44.962355,20.5,41.9,0,0,none,none
2026-01-16T00:03:47.217002,20.5,41.9,0,0,none,none
2026-01-16T00:03:49.471685,20.5,41.9,0,0,none,none
2026-01-16T00:03:51.725851,20.5,41.9,0,0,none,none
2026-01-16T00:03:53.980699,20.5,41.9,0,0,none,none
2026-01-16T00:03:56.235361,20.5,41.9,0,0,none,none
2026-01-16T00:03:58.489425,20.5,41.9,0,0,none,none
2026-01-16T00:04:00.744198,20.5,41.9,0,0,none,none
2026-01-16T00:04:02.998560,20.5,41.9,0,0,none,none
2026-01-16T00:04:05.252667,20.5,41.8,0,0,none,none
2026-01-16T00:04:07.507425,20.4,41.8,0,0,none,none
2026-01-16T00:04:09.761929,20.5,41.9,0,0,none,none
2026-01-16T00:04:12.016508,20.5,41.9,0,0,none,none
2026-01-16T00:04:14.270817,20.4,41.8,0,0,none,none
2026-01-16T00:04:16.525232,20.5,41.9,0,0,none,none
2026-01-16T00:04:18.779802,20.5,41.9,1,0,none,none
2026-01-16T00:04:21.034215,20.5,41.9,0,0,none,none
2026-01-16T00:04:23.289022,20.5,41.9,0,0,none,none
2026-01-16T00:04:25.543552,20.5,41.9,0,0,none,none
