timestamp,temperature_C,humidity,mq_raw,mq_gas_detected,anomaly_flag,anomaly_type,anomaly_source
2026-01-29 00:00:00.598000+03:00,19.1,51.0,1,0,0,none,none
2026-01-29 00:00:02.853000+03:00,19.1,51.1,1,0,0,none,none
2026-01-29 00:00:05.107000+03:00,19.1,51.1,1,0,0,none,none
2026-01-29 00:00:07.366000+03:00,19.1,51.1,1,0,0,none,none
2026-01-29 00:00:09.620000+03:00,19.1,51.1,1,0,0,none,none
2026-01-29 00:00:11.875000+03:00,19.1,51.1,1,0,0,none,none
2026-01-29 00:00:14.134000+03:00,19.1,51.2,1,0,0,none,none
2026-01-29 00:00:16.388000+03:00,19.1,51.2,1,0,0,none,none
2026-01-29 00:00:18.646000+03:00,19.2,51.2,1,0,0,none,none
2026-01-29 00:00:20.906000+03:00,19.1,51.2,1,0,0,none,none
2026-01-29 00:00:23.166000+03:00,19.1,51.2,1,0,0,none,none
2026-01-29 00:00:25.421000+03:00,19.1,51.2,1,0,0,none,none
2026-01-29 00:00:27.678000+03:00,19.1,51.2,1,0,0,none,none
2026-01-29 00:00:29.932000+03:00,19.1,51.2,1,0,0,none,none
2026-01-29 00:00:32.187000+03:00,19.1,51.2,1,0,0,none,none
2026-01-29 00:00:34.442000+03:00,19.1,51.2,1,0,0,none,none
2026-01-29 00:00:36.697000+03:00,19.1,51.2,1,0,0,none,none
2026-01-29 00:00:38.954000+03:00,19.1,51.2,1,0,0,none,none
2026-01-29 00:00:41.209000+03:00,19.1,51.2,1,0,0,none,none
2026-01-29 00:00:43.463000+03:00,19.1,51.2,1,0,0,none,none
2026-01-29 00:00:45.718000+03:00,19.1,51.2,1,0,0,none,none
2026-01-29 00:00:47.973000+03:00,19.1,51.2,1,0,0,none,none
2026-01-29 00:00:50.228000+03:00,19.1,51.1,1,0,0,none,none
2026-01-29 00:00:52.483000+03:00,19.1,51.2,1,0,0,none,none
2026-01-29 00:00:54.742000+03:00,19.1,51.2,1,0,0,none,none
2026-01-29 00:00:56.996000+03:00,19.1,51.2,1,0,0,none,none
2026-01-29 00:00:59.251000+03:00,19.1,51.2,1,0,0,none,none
2026-01-29 00:01:01.510000+03:00,19.1,51.2,1,0,0,none,none
2026-01-29 00:01:03.764000+03:00,19.1,51.2,1,0,0,none,none
2026-01-29 00:01:06.022000+03:00,19.2,51.4,1,0,0,none,none
2026-01-29 00:01:08.282000+03:00,19.1,51.3,1,0,0,none,none
