timestamp,temperature_C,humidity,pir_motion,anomaly_flag,anomaly_type,anomaly_source
2026-01-29T00:00:00.584+03:00,18.3,56.4,0,0,none,none
2026-01-29T00:00:02.838+03:00,18.3,56.4,0,0,none,none
2026-01-29T00:00:05.093+03:00,18.4,56.4,0,0,none,none
2026-01-29T00:00:07.347+03:00,18.4,56.5,0,0,none,none
2026-01-29T00:00:09.607+03:00,18.3,56.4,0,0,none,none
2026-01-29T00:00:11.862+03:00,18.4,56.5,0,0,none,none
2026-01-29T00:00:14.120+03:00,,,0,0,none,none
2026-01-29T00:00:16.374+03:00,18.3,56.4,0,0,none,none
2026-01-29T00:00:18.631+03:00,18.4,56.4,0,0,none,none
2026-01-29T00:00:20.886+03:00,18.4,56.5,0,0,none,none
2026-01-29T00:00:23.141+03:00,18.4,56.5,0,0,none,none
2026-01-29T00:00:25.396+03:00,18.4,56.5,0,0,none,none
2026-01-29T00:00:27.656+03:00,18.3,56.4,0,0,none,none
2026-01-29T00:00:29.915+03:00,18.3,56.4,0,0,none,none
2026-01-29T00:00:32.171+03:00,18.3,56.4,0,0,none,none
2026-01-29T00:00:34.426+03:00,18.3,56.4,0,0,none,none
2026-01-29T00:00:36.684+03:00,18.4,56.5,0,0,none,none
2026-01-29T00:00:38.938+03:00,18.4,56.5,0,0,none,none
2026-01-29T00:00:41.193+03:00,18.3,56.4,0,0,none,none
2026-01-29T00:00:43.452+03:00,18.4,56.4,0,0,none,none
2026-01-29T00:00:45.711+03:00,18.4,56.5,0,0,none,none
2026-01-29T00:00:47.966+03:00,18.3,56.4,0,0,none,none
2026-01-29T00:00:50.224+03:00,18.4,56.5,0,0,none,none
2026-01-29T00:00:52.478+03:00,18.4,56.4,0,0,none,none
2026-01-29T00:00:54.733+03:00,18.4,56.4,0,0,none,none
2026-01-29T00:00:56.988+03:00,18.4,56.5,0,0,none,none
2026-01-29T00:00:59.243+03:00,18.4,56.5,0,0,none,none
2026-01-29T00:01:01.498+03:00,18.4,56.5,0,0,none,none
2026-01-29T00:01:03.752+03:00,18.4,56.5,0,0,none,none
2026-01-29T00:01:06.007+03:00,18.4,56.4,0,0,none,none
2026-01-29T00:01:08.262+03:00,18.4,56.4,0,0,none,none
2026-01-29T00:01:10.517+03:00,18.3,56.4,0,0,none,none
2026-01-29T00:01:12.771+03:00,18.3,56.4,0,0,none,none
2026-01-29T00:01:15.026+03:00,18.4,56.4,0,0,none,none
2026-01-29T00:01:17.281+03:00,18.3,56.4,0,0,none,none
2026-01-29T00:01:19.536+03:00,18.4,56.5,0,0,none,none
2026-01-29T00:01:21.791+03:00,18.4,56.5,0,0,none,none
2026-01-29T00:01:24.046+03:00,18.3,56.3,0,0,none,none
2026-01-29T00:01:26.300+03:00,18.4,56.5,0,0,none,none
2026-01-29T00:01:28.555+03:00,18.4,56.5,0,0,none,none
2026-01-29T00:01:30.810+03:00,18.3,56.4,0,0,none,none
2026-01-29T00:01:33.065+03:00,18.4,56.5,0,0,none,none
