"Pi","TotalRows","AnomalyRows","AnomalyPct","Days","DaysWithAnyAnomaly","FilesWithAnomalyCols"
"pi4","1693104","126607","7.4778","51","10","18"
"pi5","1586460","9934","0.6262","50","19","22"
"pi6","1638556","126727","7.7341","52","12","17"
"pi7","1710872","130509","7.6282","50","14","16"
