timestamp,temperature_C,humidity,mq_raw,mq_gas_detected,anomaly_flag,anomaly_type,anomaly_source
2025-12-11T00:00:00.251,19.8,57.1,1,,,0,none,none
2025-12-11T00:00:02.505,19.8,57.2,1,,,0,none,none
2025-12-11T00:00:04.761,19.9,57.1,1,,,0,none,none
2025-12-11T00:00:07.016,19.8,57.0,1,,,0,none,none
2025-12-11T00:00:09.270,19.8,56.9,1,,,0,none,none
2025-12-11T00:00:11.525,19.8,56.9,1,,,0,none,none
2025-12-11T00:00:13.780,19.8,56.8,1,,,0,none,none
2025-12-11T00:00:16.035,19.8,56.9,1,,,0,none,none
2025-12-11T00:00:18.289,19.8,56.9,1,,,0,none,none
2025-12-11T00:00:20.544,19.8,56.9,1,,,0,none,none
2025-12-11T00:00:22.803,19.8,56.8,1,,,0,none,none
2025-12-11T00:00:25.058,19.8,56.6,1,,,0,none,none
2025-12-11T00:00:27.313,19.8,56.4,1,,,0,none,none
2025-12-11T00:00:29.571,19.8,56.2,1,,,0,none,none
2025-12-11T00:00:31.826,19.8,56.4,1,,,0,none,none
2025-12-11T00:00:34.083,19.8,56.6,1,,,0,none,none
2025-12-11T00:00:36.338,19.8,56.8,1,,,0,none,none
2025-12-11T00:00:38.593,19.9,57.0,1,,,0,none,none
2025-12-11T00:00:40.847,19.8,56.9,1,,,0,none,none
2025-12-11T00:00:43.107,19.8,56.9,1,,,0,none,none
2025-12-11T00:00:45.362,19.8,56.8,1,,,0,none,none
2025-12-11T00:00:47.616,19.8,56.8,1,,,0,none,none
2025-12-11T00:00:49.875,19.8,56.8,1,,,0,none,none
2025-12-11T00:00:52.130,19.8,56.8,1,,,0,none,none
2025-12-11T00:00:54.385,19.8,56.9,1,,,0,none,none
2025-12-11T00:00:56.643,19.8,57.0,1,,,0,none,none
2025-12-11T00:00:58.898,19.8,57.1,1,,,0,none,none
2025-12-11T00:01:01.153,19.8,57.1,1,,,0,none,none
2025-12-11T00:01:03.407,19.8,57.2,1,,,0,none,none
2025-12-11T00:01:05.664,19.8,57.2,1,,,0,none,none
2025-12-11T00:01:07.918,19.8,57.1,1,,,0,none,none
2025-12-11T00:01:10.173,19.8,57.2,1,,,0,none,none
2025-12-11T00:01:12.427,19.8,57.1,1,,,0,none,none
2025-12-11T00:01:14.683,19.8,56.9,1,,,0,none,none
2025-12-11T00:01:16.943,19.9,57.0,1,,,0,none,none
2025-12-11T00:01:19.204,19.8,56.9,1,,,0,none,none
2025-12-11T00:01:21.458,19.8,56.9,1,,,0,none,none
2025-12-11T00:01:23.715,19.9,57.0,1,,,0,none,none
2025-12-11T00:01:25.970,19.8,57.0,1,,,0,none,none
2025-12-11T00:01:28.227,19.8,57.0,1,,,0,none,none
2025-12-11T00:01:30.487,19.8,57.0,1,,,0,none,none
2025-12-11T00:01:32.748,19.8,56.8,1,,,0,none,none
2025-12-11T00:01:35.003,19.8,56.7,1,,,0,none,none
2025-12-11T00:01:37.258,19.8,56.6,1,,,0,none,none
2025-12-11T00:01:39.513,19.9,56.8,1,,,0,none,none
2025-12-11T00:01:41.767,19.8,56.9,1,,,0,none,none
2025-12-11T00:01:44.022,19.8,56.9,1,,,0,none,none
2025-12-11T00:01:46.280,19.8,56.7,1,,,0,none,none
2025-12-11T00:01:48.534,19.8,56.5,1,,,0,none,none
2025-12-11T00:01:50.788,19.8,56.4,1,,,0,none,none
2025-12-11T00:01:53.048,,,1,,,0,none,none
