timestamp,temperature_C,humidity,mq_raw,mq_gas_detected,anomaly_flag,anomaly_type,anomaly_source
2025-12-18T00:00:02.242,18.9,52.8,0,,0,none,none
2025-12-18T00:00:04.496,18.9,52.7,0,,0,none,none
2025-12-18T00:00:06.751,18.9,52.7,0,,0,none,none
2025-12-18T00:00:09.006,,,0,,0,none,none
2025-12-18T00:00:11.259,18.9,52.8,0,,0,none,none
2025-12-18T00:00:13.514,18.9,52.9,0,,0,none,none
2025-12-18T00:00:15.769,18.9,53.0,0,,0,none,none
2025-12-18T00:00:18.024,18.9,52.9,0,,0,none,none
2025-12-18T00:00:20.278,18.9,52.9,0,,0,none,none
2025-12-18T00:00:22.533,18.9,53.0,0,,0,none,none
2025-12-18T00:00:24.788,18.9,53.2,0,,0,none,none
2025-12-18T00:00:27.043,18.9,53.2,0,,0,none,none
2025-12-18T00:00:29.297,18.9,53.2,0,,0,none,none
2025-12-18T00:00:31.552,18.9,53.1,0,,0,none,none
2025-12-18T00:00:33.807,18.9,53.1,0,,0,none,none
2025-12-18T00:00:36.062,18.9,53.2,0,,0,none,none
2025-12-18T00:00:38.319,18.9,53.2,0,,0,none,none
2025-12-18T00:00:40.576,19.0,53.3,0,,0,none,none
2025-12-18T00:00:42.831,18.9,53.3,0,,0,none,none
2025-12-18T00:00:45.086,18.9,53.2,0,,0,none,none
2025-12-18T00:00:47.341,18.9,53.2,0,,0,none,none
2025-12-18T00:00:49.595,18.9,53.2,0,,0,none,none
2025-12-18T00:00:51.850,18.9,53.3,0,,0,none,none
2025-12-18T00:00:54.105,18.9,53.4,0,,0,none,none
2025-12-18T00:00:56.360,19.0,53.3,0,,0,none,none
2025-12-18T00:00:58.615,18.9,53.1,0,,0,none,none
2025-12-18T00:01:00.869,19.0,53.0,0,,0,none,none
2025-12-18T00:01:03.124,18.9,53.1,0,,0,none,none
2025-12-18T00:01:05.379,18.9,53.1,0,,0,none,none
2025-12-18T00:01:07.634,18.9,53.2,0,,0,none,none
2025-12-18T00:01:09.888,18.9,53.2,0,,0,none,none
2025-12-18T00:01:12.143,,,0,,0,none,none
2025-12-18T00:01:14.398,19.0,53.2,0,,0,none,none
2025-12-18T00:01:16.653,18.9,53.2,0,,0,none,none
2025-12-18T00:01:18.908,18.9,53.1,0,,0,none,none
2025-12-18T00:01:21.162,18.9,53.1,0,,0,none,none
2025-12-18T00:01:23.417,18.9,53.0,0,,0,none,none
2025-12-18T00:01:25.672,19.0,52.9,0,,0,none,none
2025-12-18T00:01:27.927,18.9,53.0,0,,0,none,none
2025-12-18T00:01:30.181,18.9,53.0,0,,0,none,none
