"timestamp","temperature_C","humidity","accel_x_m_s2","accel_y_m_s2","accel_z_m_s2","anomaly_flag","anomaly_type","anomaly_source"
"2025-12-22T00:00:01.922","20.6","66.6","-0.0392266","-1.8044235999999998","10.9049948","0","none","none"
"2025-12-22T00:00:04.177","20.6","66.6","-0.0392266","-1.9221034","11.2580342","0","none","none"
"2025-12-22T00:00:06.433","20.6","66.6","0.0","-1.9221034","11.2188076","0","none","none"
"2025-12-22T00:00:08.688","20.6","66.6","-0.0784532","-1.8044235999999998","11.061901200000001","0","none","none"
"2025-12-22T00:00:10.944","20.6","66.7","-0.0392266","-1.8044235999999998","10.983448000000001","0","none","none"
"2025-12-22T00:00:13.200","20.6","66.7","-0.0392266","-1.8044235999999998","10.983448000000001","0","none","none"
"2025-12-22T00:00:15.456","20.6","66.7","0.0","-1.8828768","11.2580342","0","none","none"
"2025-12-22T00:00:17.712","20.6","66.7","-0.0392266","-1.9221034","11.2188076","0","none","none"
"2025-12-22T00:00:19.967","20.6","66.7","-0.0392266","-1.8436502","11.2188076","0","none","none"
"2025-12-22T00:00:22.223","20.6","66.7","-0.0392266","-1.8044235999999998","10.8657682","0","none","none"
"2025-12-22T00:00:24.479","20.6","66.7","-0.0784532","-1.765197","10.983448000000001","0","none","none"
"2025-12-22T00:00:26.735","20.6","66.7","-0.0392266","-1.8436502","11.0226746","0","none","none"
"2025-12-22T00:00:28.990","20.6","66.7","-0.0392266","-1.9221034","11.1011278","0","none","none"
"2025-12-22T00:00:31.246","20.6","66.7","-0.0392266","-1.8828768","11.2580342","0","none","none"
"2025-12-22T00:00:33.502","20.6","66.6","-0.0392266","-1.8044235999999998","10.983448000000001","0","none","none"
"2025-12-22T00:00:35.758","20.6","66.6","-0.0784532","-1.765197","10.9049948","0","none","none"
"2025-12-22T00:00:38.014","20.6","66.6","-0.0392266","-1.8044235999999998","10.983448000000001","0","none","none"
"2025-12-22T00:00:40.269","20.6","66.5","0.0","-1.9221034","11.2188076","0","none","none"
"2025-12-22T00:00:42.525","20.6","66.5","0.0","-1.9221034","11.2188076","0","none","none"
"2025-12-22T00:00:44.781","20.6","66.5","0.0","-1.8436502","11.179581","0","none","none"
"2025-12-22T00:00:47.037","20.6","66.5","0.0","-1.8436502","11.1011278","0","none","none"
"2025-12-22T00:00:49.293","20.6","66.5","-0.0392266","-1.8436502","10.9442214","0","none","none"
"2025-12-22T00:00:51.548","20.6","66.5","-0.0392266","-1.8436502","11.1011278","0","none","none"
"2025-12-22T00:00:53.804","20.6","66.5","-0.0392266","-1.8828768","11.1403544","0","none","none"
"2025-12-22T00:00:56.060","20.6","66.5","-0.0784532","-1.8044235999999998","11.179581","0","none","none"
"2025-12-22T00:00:58.316","20.6","66.5","-0.1176798","-1.765197","10.9442214","0","none","none"
"2025-12-22T00:01:00.572","20.6","66.5","-0.0784532","-1.765197","10.9442214","0","none","none"
"2025-12-22T00:01:02.827","20.6","66.6","-0.0392266","-1.8436502","11.0226746","0","none","none"
"2025-12-22T00:01:05.083","20.6","66.6","-0.0392266","-1.8828768","11.2580342","0","none","none"
"2025-12-22T00:01:07.339","20.6","66.6","0.0","-1.8828768","11.2188076","0","none","none"
"2025-12-22T00:01:09.594","20.6","66.7","-0.0784532","-1.8044235999999998","10.983448000000001","0","none","none"
"2025-12-22T00:01:11.850","20.6","66.7","-0.0392266","-1.8044235999999998","11.061901200000001","0","none","none"
"2025-12-22T00:01:14.106","20.6","66.6","-0.1176798","-1.8044235999999998","10.9442214","0","none","none"
"2025-12-22T00:01:16.362","20.6","66.6","0.0","-1.8828768","11.2188076","0","none","none"
"2025-12-22T00:01:18.617","20.6","66.5","-0.0392266","-1.8828768","11.0226746","0","none","none"
"2025-12-22T00:01:20.873","20.6","66.5","-0.0392266","-1.8828768","11.2188076","0","none","none"
"2025-12-22T00:01:23.129","20.6","66.5","-0.0392266","-1.8044235999999998","10.983448000000001","0","none","none"
"2025-12-22T00:01:25.385","20.6","66.5","-0.0392266","-1.8436502","11.061901200000001","0","none","none"
"2025-12-22T00:01:27.640","20.6","66.5","-0.0784532","-1.8436502","10.9049948","0","none","none"
"2025-12-22T00:01:29.896","20.6","66.5","0.0","-1.96133","11.179581","0","none","none"
"2025-12-22T00:01:32.152","20.6","66.5","0.0","-1.96133","11.179581","0","none","none"
"2025-12-22T00:01:34.407","20.6","66.5","-0.0392266","-1.8436502","11.179581","0","none","none"
"2025-12-22T00:01:36.663","20.6","66.5","0.0","-1.8436502","11.1403544","0","none","none"
"2025-12-22T00:01:38.919","20.6","66.5","-0.0784532","-1.8436502","10.9442214","0","none","none"
"2025-12-22T00:01:41.175","20.6","66.5","-0.0784532","-1.8044235999999998","10.983448000000001","0","none","none"
"2025-12-22T00:01:43.430","20.6","66.5","-0.0392266","-1.8828768","11.0226746","0","none","none"
"2025-12-22T00:01:45.685","20.6","66.5","0.0","-1.8828768","11.2188076","0","none","none"
"2025-12-22T00:01:47.941","20.6","66.5","-0.0392266","-1.8436502","11.061901200000001","0","none","none"
"2025-12-22T00:01:50.197","20.6","66.5","-0.0392266","-1.8044235999999998","11.1011278","0","none","none"
"2025-12-22T00:01:52.453","20.6","66.6","-0.0392266","-1.8044235999999998","10.9442214","0","none","none"
"2025-12-22T00:01:54.709","20.6","66.5","-0.0392266","-1.8828768","11.1403544","0","none","none"
"2025-12-22T00:01:56.964","20.6","66.6","-0.0392266","-1.9221034","11.2188076","0","none","none"
"2025-12-22T00:01:59.220","20.6","66.6","0.0","-1.9221034","11.2972608","0","none","none"
"2025-12-22T00:02:01.476","20.6","66.6","0.0","-1.8828768","11.179581","0","none","none"
"2025-12-22T00:02:03.732","20.6","66.6","-0.0784532","-1.8044235999999998","10.9049948","0","none","none"
"2025-12-22T00:02:05.988","20.6","66.6","-0.0392266","-1.8044235999999998","10.983448000000001","0","none","none"
"2025-12-22T00:02:08.243","20.6","66.7","-0.0392266","-1.8044235999999998","10.983448000000001","0","none","none"
"2025-12-22T00:02:10.499","20.6","66.7","0.0","-1.9221034","11.2188076","0","none","none"
"2025-12-22T00:02:12.754","20.6","66.6","-0.0392266","-1.8828768","11.179581","0","none","none"
"2025-12-22T00:02:15.010","20.6","66.6","0.0","-1.8828768","11.179581","0","none","none"
"2025-12-22T00:02:17.266","20.6","66.7","-0.0784532","-1.8044235999999998","10.9442214","0","none","none"
"2025-12-22T00:02:19.521","20.6","66.8","-0.1176798","-1.8044235999999998","10.9049948","0","none","none"
"2025-12-22T00:02:21.777","20.6","66.8","-0.0784532","-1.8044235999999998","10.9049948","0","none","none"
"2025-12-22T00:02:24.033","20.6","66.8","0.0","-1.8828768","11.2580342","0","none","none"
"2025-12-22T00:02:26.288","20.6","66.8","0.0","-1.8436502","11.1403544","0","none","none"
"2025-12-22T00:02:28.544","20.6","66.9","0.0","-1.8436502","11.179581","0","none","none"
"2025-12-22T00:02:30.800","20.6","66.9","-0.0784532","-1.8044235999999998","10.9442214","0","none","none"
"2025-12-22T00:02:33.055","20.6","66.8","-0.0392266","-1.8044235999999998","10.9049948","0","none","none"
"2025-12-22T00:02:35.311","20.6","66.8","0.0","-1.8436502","11.0226746","0","none","none"
"2025-12-22T00:02:37.567","20.6","66.8","0.0392266","-1.9221034","11.2580342","0","none","none"
"2025-12-22T00:02:39.822","20.6","66.7","-0.0392266","-1.96133","11.2972608","0","none","none"
"2025-12-22T00:02:42.078","20.6","66.7","-0.0392266","-1.8436502","11.061901200000001","0","none","none"
"2025-12-22T00:02:44.334","20.6","66.7","-0.0392266","-1.8044235999999998","10.9442214","0","none","none"
"2025-12-22T00:02:46.590","20.6","66.6","-0.0784532","-1.765197","10.9049948","0","none","none"
"2025-12-22T00:02:48.846","20.6","66.6","-0.0392266","-1.8828768","11.1403544","0","none","none"
"2025-12-22T00:02:51.101","20.6","66.6","-0.0392266","-1.8828768","11.179581","0","none","none"
"2025-12-22T00:02:53.357","20.6","66.6","-0.0392266","-1.8828768","11.2580342","0","none","none"
"2025-12-22T00:02:55.613","20.6","66.6","-0.0784532","-1.8044235999999998","10.9442214","0","none","none"
"2025-12-22T00:02:57.869","20.6","66.6","-0.0392266","-1.765197","10.983448000000001","0","none","none"
"2025-12-22T00:03:00.125","20.6","66.6","-0.0784532","-1.8436502","11.0226746","0","none","none"
"2025-12-22T00:03:02.380","20.6","66.6","-0.0392266","-1.8828768","11.3364874","0","none","none"
"2025-12-22T00:03:04.636","20.6","66.6","0.0","-1.8828768","11.2188076","0","none","none"
"2025-12-22T00:03:06.892","20.6","66.6","-0.0784532","-1.8828768","11.179581","0","none","none"
"2025-12-22T00:03:09.148","20.6","66.6","-0.0784532","-1.8044235999999998","10.983448000000001","0","none","none"
