"timestamp","temperature_C","humidity","pir_motion","anomaly_flag","anomaly_type","anomaly_source"
"2025-12-23T00:00:01.639302","19.3","74.3","1","0","none","none"
"2025-12-23T00:00:03.894005","19.3","74.3","1","0","none","none"
"2025-12-23T00:00:06.149058","19.3","74.3","1","0","none","none"
"2025-12-23T00:00:08.404029","19.3","74.3","1","0","none","none"
"2025-12-23T00:00:10.658671","19.3","74.3","1","0","none","none"
"2025-12-23T00:00:12.913519","19.3","74.3","1","0","none","none"
"2025-12-23T00:00:15.168181","19.3","74.3","1","0","none","none"
"2025-12-23T00:00:17.422592","19.3","74.3","1","0","none","none"
"2025-12-23T00:00:19.677451","19.3","74.3","1","0","none","none"
"2025-12-23T00:00:21.932004","19.3","74.3","0","0","none","none"
"2025-12-23T00:00:24.186561","19.3","74.3","0","0","none","none"
"2025-12-23T00:00:26.441377","19.3","74.3","0","0","none","none"
"2025-12-23T00:00:28.695991","19.3","74.3","0","0","none","none"
"2025-12-23T00:00:30.950589","19.3","74.3","0","0","none","none"
"2025-12-23T00:00:33.205394","19.3","74.3","0","0","none","none"
"2025-12-23T00:00:35.460036","19.3","74.3","0","0","none","none"
"2025-12-23T00:00:37.714711","19.3","74.3","1","0","none","none"
"2025-12-23T00:00:39.969499","19.3","74.3","1","0","none","none"
"2025-12-23T00:00:42.224078","19.3","74.3","1","0","none","none"
"2025-12-23T00:00:44.478547","19.3","74.3","1","0","none","none"
"2025-12-23T00:00:46.733181","19.3","74.3","1","0","none","none"
"2025-12-23T00:00:48.987776","19.3","74.3","1","0","none","none"
"2025-12-23T00:00:51.242281","19.3","74.3","1","0","none","none"
"2025-12-23T00:00:53.497070","19.3","74.3","1","0","none","none"
"2025-12-23T00:00:55.751754","19.3","74.3","1","0","none","none"
"2025-12-23T00:00:58.006327","19.3","74.3","1","0","none","none"
"2025-12-23T00:01:00.260598","19.3","74.3","1","0","none","none"
"2025-12-23T00:01:02.515104","19.3","74.3","1","0","none","none"
"2025-12-23T00:01:04.769648","19.3","74.3","1","0","none","none"
"2025-12-23T00:01:07.024497","19.3","74.3","1","0","none","none"
"2025-12-23T00:01:09.279160","19.3","74.3","1","0","none","none"
"2025-12-23T00:01:11.533690","19.3","74.3","1","0","none","none"
"2025-12-23T00:01:13.788480","19.3","74.3","1","0","none","none"
"2025-12-23T00:01:16.043061","19.3","74.3","1","0","none","none"
"2025-12-23T00:01:18.297559","19.3","74.3","1","0","none","none"
"2025-12-23T00:01:20.552252","19.3","74.3","0","0","none","none"
"2025-12-23T00:01:22.806930","19.3","74.3","0","0","none","none"
"2025-12-23T00:01:25.061365","19.3","74.3","0","0","none","none"
"2025-12-23T00:01:27.315854","19.3","74.3","0","0","none","none"
"2025-12-23T00:01:29.651586","19.3","74.3","0","0","none","none"
"2025-12-23T00:01:31.987082","19.3","74.3","0","0","none","none"
