"timestamp","temperature_C","humidity","pir_motion","anomaly_flag","anomaly_type","anomaly_source"
"2026-01-13T00:00:01.827+03:00","","","1","0","none","none"
"2026-01-13T00:00:03.828+03:00","","","1","0","none","none"
"2026-01-13T00:00:05.829+03:00","","","1","0","none","none"
"2026-01-13T00:00:07.830+03:00","","","1","0","none","none"
"2026-01-13T00:00:09.831+03:00","","","1","0","none","none"
"2026-01-13T00:00:11.832+03:00","","","1","0","none","none"
"2026-01-13T00:00:13.832+03:00","","","1","0","none","none"
"2026-01-13T00:00:15.833+03:00","","","1","0","none","none"
"2026-01-13T00:00:17.834+03:00","","","1","0","none","none"
"2026-01-13T00:00:19.835+03:00","","","1","0","none","none"
"2026-01-13T00:00:21.836+03:00","","","1","0","none","none"
"2026-01-13T00:00:23.837+03:00","","","1","0","none","none"
"2026-01-13T00:00:25.838+03:00","","","1","0","none","none"
"2026-01-13T00:00:27.839+03:00","","","1","0","none","none"
"2026-01-13T00:00:29.839+03:00","","","1","0","none","none"
"2026-01-13T00:00:31.840+03:00","","","1","0","none","none"
"2026-01-13T00:00:33.841+03:00","","","0","0","none","none"
"2026-01-13T00:00:35.842+03:00","","","0","0","none","none"
"2026-01-13T00:00:37.843+03:00","","","0","0","none","none"
"2026-01-13T00:00:39.844+03:00","","","0","0","none","none"
"2026-01-13T00:00:41.845+03:00","","","0","0","none","none"
"2026-01-13T00:00:43.846+03:00","","","0","0","none","none"
"2026-01-13T00:00:45.847+03:00","","","0","0","none","none"
"2026-01-13T00:00:47.847+03:00","","","0","0","none","none"
"2026-01-13T00:00:49.848+03:00","","","1","0","none","none"
"2026-01-13T00:00:51.849+03:00","","","1","0","none","none"
"2026-01-13T00:00:53.850+03:00","","","1","0","none","none"
"2026-01-13T00:00:55.851+03:00","","","1","0","none","none"
"2026-01-13T00:00:57.852+03:00","","","1","0","none","none"
"2026-01-13T00:00:59.853+03:00","","","1","0","none","none"
"2026-01-13T00:01:01.854+03:00","","","1","0","none","none"
"2026-01-13T00:01:03.855+03:00","","","1","0","none","none"
"2026-01-13T00:01:05.855+03:00","","","1","0","none","none"
"2026-01-13T00:01:07.856+03:00","","","1","0","none","none"
"2026-01-13T00:01:09.857+03:00","","","1","0","none","none"
