timestamp,temperature_C,humidity,mq_raw,mq_gas_detected,anomaly_flag,anomaly_type,anomaly_source
2026-01-24T00:00:00.792+03:00,21.4,54.0,1,0,0,none,none
2026-01-24T00:00:03.047+03:00,21.4,54.0,1,0,0,none,none
2026-01-24T00:00:05.302+03:00,21.4,54.0,1,0,0,none,none
2026-01-24T00:00:07.557+03:00,21.4,54.0,1,0,0,none,none
2026-01-24T00:00:09.812+03:00,21.4,54.0,1,0,0,none,none
2026-01-24T00:00:12.067+03:00,21.4,54.0,1,0,0,none,none
2026-01-24T00:00:14.322+03:00,21.4,54.0,1,0,0,none,none
2026-01-24T00:00:16.578+03:00,21.4,53.9,1,0,0,none,none
2026-01-24T00:00:18.833+03:00,21.4,54.0,1,0,0,none,none
2026-01-24T00:00:21.088+03:00,21.4,54.0,1,0,0,none,none
2026-01-24T00:00:23.343+03:00,21.4,53.9,1,0,0,none,none
2026-01-24T00:00:25.598+03:00,21.4,53.9,1,0,0,none,none
2026-01-24T00:00:27.853+03:00,21.4,53.9,1,0,0,none,none
2026-01-24T00:00:30.108+03:00,21.4,53.9,1,0,0,none,none
2026-01-24T00:00:32.363+03:00,21.4,53.9,1,0,0,none,none
2026-01-24T00:00:34.617+03:00,21.4,53.9,1,0,0,none,none
2026-01-24T00:00:36.872+03:00,21.4,53.9,1,0,0,none,none
2026-01-24T00:00:39.130+03:00,21.4,53.9,1,0,0,none,none
2026-01-24T00:00:41.384+03:00,21.4,53.9,1,0,0,none,none
2026-01-24T00:00:43.639+03:00,21.4,53.9,1,0,0,none,none
2026-01-24T00:00:45.898+03:00,21.4,53.9,1,0,0,none,none
2026-01-24T00:00:48.153+03:00,21.4,53.8,1,0,0,none,none
2026-01-24T00:00:50.408+03:00,21.4,53.8,1,0,0,none,none
2026-01-24T00:00:52.663+03:00,21.4,53.8,1,0,0,none,none
2026-01-24T00:00:54.918+03:00,21.4,53.8,1,0,0,none,none
2026-01-24T00:00:57.174+03:00,21.4,53.8,1,0,0,none,none
2026-01-24T00:00:59.429+03:00,21.4,53.8,1,0,0,none,none
2026-01-24T00:01:01.683+03:00,21.4,53.8,1,0,0,none,none
2026-01-24T00:01:03.939+03:00,21.4,53.8,1,0,0,none,none
2026-01-24T00:01:06.194+03:00,21.4,53.8,1,0,0,none,none
2026-01-24T00:01:08.448+03:00,21.4,53.7,1,0,0,none,none
2026-01-24T00:01:10.704+03:00,21.4,53.7,1,0,0,none,none
2026-01-24T00:01:12.959+03:00,21.4,53.8,1,0,0,none,none
2026-01-24T00:01:15.214+03:00,21.4,53.7,1,0,0,none,none
2026-01-24T00:01:17.469+03:00,21.4,53.7,1,0,0,none,none
2026-01-24T00:01:19.724+03:00,21.4,53.7,1,0,0,none,none
2026-01-24T00:01:21.979+03:00,21.4,53.7,1,0,0,none,none
2026-01-24T00:01:24.234+03:00,21.4,53.6,1,0,0,none,none
2026-01-24T00:01:26.489+03:00,21.4,53.6,1,0,0,none,none
2026-01-24T00:01:28.744+03:00,21.4,53.6,1,0,0,none,none
2026-01-24T00:01:30.999+03:00,21.4,53.6,1,0,0,none,none
2026-01-24T00:01:33.253+03:00,21.3,53.6,1,0,0,none,none
2026-01-24T00:01:35.508+03:00,21.4,53.7,1,0,0,none,none
2026-01-24T00:01:37.764+03:00,21.4,53.7,1,0,0,none,none
2026-01-24T00:01:40.018+03:00,21.4,53.7,1,0,0,none,none
2026-01-24T00:01:42.273+03:00,21.3,53.7,1,0,0,none,none
2026-01-24T00:01:44.528+03:00,21.4,53.7,1,0,0,none,none
2026-01-24T00:01:46.784+03:00,21.4,53.7,1,0,0,none,none
2026-01-24T00:01:49.038+03:00,21.4,53.7,1,0,0,none,none
2026-01-24T00:01:51.294+03:00,21.4,53.7,1,0,0,none,none
2026-01-24T00:01:53.548+03:00,21.4,53.7,1,0,0,none,none
2026-01-24T00:01:55.803+03:00,21.4,53.8,1,0,0,none,none
2026-01-24T00:01:58.058+03:00,21.4,53.7,1,0,0,none,none
2026-01-24T00:02:00.313+03:00,21.4,53.8,1,0,0,none,none
2026-01-24T00:02:02.568+03:00,21.4,53.8,1,0,0,none,none
2026-01-24T00:02:04.823+03:00,21.3,53.7,1,0,0,none,none
2026-01-24T00:02:07.078+03:00,21.3,53.7,1,0,0,none,none
2026-01-24T00:02:09.333+03:00,21.3,53.7,1,0,0,none,none
2026-01-24T00:02:11.588+03:00,21.4,53.8,1,0,0,none,none
2026-01-24T00:02:13.843+03:00,21.3,53.7,1,0,0,none,none
2026-01-24T00:02:16.098+03:00,21.3,53.7,1,0,0,none,none
2026-01-24T00:02:18.353+03:00,21.3,53.7,1,0,0,none,none
2026-01-24T00:02:20.608+03:00,21.4,53.8,1,0,0,none,none
2026-01-24T00:02:22.862+03:00,21.4,53.8,1,0,0,none,none
2026-01-24T00:02:25.117+03:00,21.3,53.8,1,0,0,none,none
2026-01-24T00:02:27.374+03:00,21.4,53.8,1,0,0,none,none
2026-01-24T00:02:29.628+03:00,21.3,53.7,1,0,0,none,none
2026-01-24T00:02:31.886+03:00,21.4,53.8,1,0,0,none,none
2026-01-24T00:02:34.141+03:00,21.3,53.7,1,0,0,none,none
2026-01-24T00:02:36.395+03:00,21.3,53.7,1,0,0,none,none
2026-01-24T00:02:38.650+03:00,21.4,53.8,1,0,0,none,none
2026-01-24T00:02:40.905+03:00,21.3,53.8,1,0,0,none,none
2026-01-24T00:02:43.160+03:00,21.4,53.8,1,0,0,none,none
2026-01-24T00:02:45.415+03:00,21.4,53.8,1,0,0,none,none
2026-01-24T00:02:47.669+03:00,,,1,0,1,dht_fail,fault
2026-01-24T00:02:49.924+03:00,21.3,53.8,1,0,0,none,none
2026-01-24T00:02:52.179+03:00,21.4,53.8,1,0,0,none,none
2026-01-24T00:02:54.438+03:00,21.4,53.8,1,0,0,none,none
2026-01-24T00:02:56.692+03:00,21.3,53.8,1,0,0,none,none
2026-01-24T00:02:58.947+03:00,21.4,53.9,1,0,0,none,none
2026-01-24T00:03:01.202+03:00,21.4,53.8,1,0,0,none,none
2026-01-24T00:03:03.457+03:00,21.3,53.8,1,0,0,none,none
2026-01-24T00:03:05.712+03:00,21.4,53.9,1,0,0,none,none
2026-01-24T00:03:07.966+03:00,21.3,53.8,1,0,0,none,none
2026-01-24T00:03:10.221+03:00,21.4,53.9,1,0,0,none,none
2026-01-24T00:03:12.476+03:00,21.4,53.9,1,0,0,none,none
2026-01-24T00:03:14.734+03:00,21.3,53.9,1,0,0,none,none
2026-01-24T00:03:16.989+03:00,21.3,53.9,1,0,0,none,none
2026-01-24T00:03:19.244+03:00,21.4,54.0,1,0,0,none,none
2026-01-24T00:03:21.498+03:00,21.4,53.9,1,0,0,none,none
2026-01-24T00:03:23.753+03:00,21.4,53.9,1,0,0,none,none
2026-01-24T00:03:26.008+03:00,21.3,53.9,1,0,0,none,none
2026-01-24T00:03:28.266+03:00,21.3,54.0,1,0,0,none,none
2026-01-24T00:03:30.520+03:00,21.4,54.0,1,0,0,none,none
2026-01-24T00:03:32.775+03:00,21.3,54.0,1,0,0,none,none
2026-01-24T00:03:35.030+03:00,21.3,54.0,1,0,0,none,none
2026-01-24T00:03:37.285+03:00,21.4,54.0,1,0,0,none,none
2026-01-24T00:03:39.540+03:00,21.4,54.1,1,0,0,none,none
2026-01-24T00:03:41.795+03:00,,,1,0,1,dht_fail,fault
2026-01-24T00:03:44.050+03:00,21.4,54.1,1,0,0,none,none
2026-01-24T00:03:46.305+03:00,21.4,54.2,1,0,0,none,none
2026-01-24T00:03:48.560+03:00,21.4,54.1,1,0,0,none,none
2026-01-24T00:03:50.815+03:00,21.4,54.1,1,0,0,none,none
2026-01-24T00:03:53.070+03:00,21.4,54.2,1,0,0,none,none
2026-01-24T00:03:55.325+03:00,21.3,54.1,1,0,0,none,none
2026-01-24T00:03:57.580+03:00,21.3,54.0,1,0,0,none,none
2026-01-24T00:03:59.835+03:00,21.3,54.1,1,0,0,none,none
2026-01-24T00:04:02.090+03:00,21.3,54.1,1,0,0,none,none
2026-01-24T00:04:04.344+03:00,21.3,54.1,1,0,0,none,none
2026-01-24T00:04:06.599+03:00,21.4,54.2,1,0,0,none,none
2026-01-24T00:04:08.854+03:00,21.3,54.1,1,0,0,none,none
2026-01-24T00:04:11.109+03:00,21.4,54.1,1,0,0,none,none
2026-01-24T00:04:13.364+03:00,21.4,54.2,1,0,0,none,none
2026-01-24T00:04:15.619+03:00,21.3,54.1,1,0,0,none,none
2026-01-24T00:04:17.874+03:00,21.4,54.2,1,0,0,none,none
2026-01-24T00:04:20.130+03:00,21.4,54.2,1,0,0,none,none
2026-01-24T00:04:22.385+03:00,21.3,54.1,1,0,0,none,none
2026-01-24T00:04:24.639+03:00,21.4,54.2,1,0,0,none,none
2026-01-24T00:04:26.895+03:00,21.4,54.2,1,0,0,none,none
2026-01-24T00:04:29.150+03:00,21.3,54.1,1,0,0,none,none
2026-01-24T00:04:31.405+03:00,21.4,54.2,1,0,0,none,none
2026-01-24T00:04:33.660+03:00,21.4,54.2,1,0,0,none,none
2026-01-24T00:04:35.915+03:00,21.4,54.3,1,0,0,none,none
2026-01-24T00:04:38.170+03:00,21.4,54.2,1,0,0,none,none
2026-01-24T00:04:40.425+03:00,21.4,54.2,1,0,0,none,none
2026-01-24T00:04:42.680+03:00,21.4,54.2,1,0,0,none,none
2026-01-24T00:04:44.935+03:00,21.4,54.2,1,0,0,none,none
2026-01-24T00:04:47.190+03:00,21.3,54.1,1,0,0,none,none
2026-01-24T00:04:49.445+03:00,21.4,54.2,1,0,0,none,none
2026-01-24T00:04:51.700+03:00,21.3,54.1,1,0,0,none,none
2026-01-24T00:04:53.956+03:00,,,1,0,1,dht_fail,fault
2026-01-24T00:04:56.211+03:00,21.4,54.2,1,0,0,none,none
2026-01-24T00:04:58.466+03:00,21.4,54.2,1,0,0,none,none
2026-01-24T00:05:00.722+03:00,21.3,54.0,1,0,0,none,none
2026-01-24T00:05:02.977+03:00,21.4,54.1,1,0,0,none,none
2026-01-24T00:05:05.232+03:00,21.3,54.1,1,0,0,none,none
2026-01-24T00:05:07.487+03:00,21.3,54.1,1,0,0,none,none
2026-01-24T00:05:09.742+03:00,21.4,54.2,1,0,0,none,none
