timestamp,temperature_C,humidity,accel_x_m_s2,accel_y_m_s2,accel_z_m_s2,anomaly_flag,anomaly_type,anomaly_source
2026-02-03T00:00:02.060,20.3,54.8,0.196133,-2.0790097999999997,11.454167199999999,0,none,none
2026-02-03T00:00:04.316,20.3,54.8,0.2353596,-2.0005566,11.3364874,0,none,none
2026-02-03T00:00:06.572,20.3,54.7,0.2353596,-2.0397832,11.3364874,0,none,none
2026-02-03T00:00:08.827,20.3,54.7,0.2353596,-2.0005566,11.2972608,0,none,none
2026-02-03T00:00:11.083,20.3,54.7,0.196133,-2.0397832,11.375713999999999,0,none,none
2026-02-03T00:00:13.339,20.3,54.7,0.1176798,-1.96133,11.3364874,0,none,none
2026-02-03T00:00:15.595,20.3,54.8,0.196133,-2.0397832,11.375713999999999,0,none,none
2026-02-03T00:00:17.851,20.3,54.8,0.196133,-2.0005566,11.375713999999999,0,none,none
2026-02-03T00:00:20.107,20.3,54.8,0.196133,-2.0005566,11.375713999999999,0,none,none
2026-02-03T00:00:22.363,20.3,54.7,0.1569064,-2.0397832,11.414940599999998,0,none,none
2026-02-03T00:00:24.618,20.3,54.6,0.196133,-2.0005566,11.414940599999998,0,none,none
2026-02-03T00:00:26.874,20.3,54.5,0.1569064,-2.0005566,11.454167199999999,0,none,none
2026-02-03T00:00:29.130,20.3,54.5,0.196133,-2.0790097999999997,11.375713999999999,0,none,none
2026-02-03T00:00:31.386,20.3,54.5,0.2353596,-2.0005566,11.375713999999999,0,none,none
2026-02-03T00:00:33.641,20.3,54.5,0.2353596,-2.0005566,11.375713999999999,0,none,none
2026-02-03T00:00:35.897,,,0.196133,-2.0397832,11.2580342,0,none,none
2026-02-03T00:00:38.155,20.3,54.5,0.196133,-2.0397832,11.2972608,0,none,none
2026-02-03T00:00:40.411,20.3,54.5,0.196133,-2.0397832,11.2972608,0,none,none
2026-02-03T00:00:42.666,20.3,54.5,0.196133,-2.0397832,11.414940599999998,0,none,none
2026-02-03T00:00:44.927,20.3,54.6,0.196133,-2.0005566,11.375713999999999,0,none,none
2026-02-03T00:00:47.183,20.3,54.6,0.196133,-1.96133,11.2580342,0,none,none
2026-02-03T00:00:49.438,20.3,54.7,0.2353596,-2.0790097999999997,11.2972608,0,none,none
2026-02-03T00:00:51.694,20.3,54.6,0.196133,-2.0005566,11.375713999999999,0,none,none
2026-02-03T00:00:53.949,20.3,54.6,0.2353596,-2.0005566,11.2580342,0,none,none
2026-02-03T00:00:56.208,,,0.1569064,-2.0397832,11.3364874,0,none,none
2026-02-03T00:00:58.463,20.3,54.7,0.1569064,-1.96133,11.2972608,0,none,none
2026-02-03T00:01:00.719,20.3,54.6,0.196133,-2.0397832,11.3364874,0,none,none
2026-02-03T00:01:02.974,20.3,54.6,0.2353596,-2.0397832,11.375713999999999,0,none,none
2026-02-03T00:01:05.231,20.3,54.5,0.1569064,-2.0005566,11.375713999999999,0,none,none
2026-02-03T00:01:07.487,20.3,54.5,0.196133,-2.0397832,11.414940599999998,0,none,none
2026-02-03T00:01:09.742,20.3,54.5,0.196133,-2.0397832,11.2972608,0,none,none
