timestamp,temperature_C,humidity,accel_x_m_s2,accel_y_m_s2,accel_z_m_s2
2026-01-06T23:47:54.937,22.5,56.9,,,
2026-01-06T23:47:57.192,22.0,52.0,,,
2026-01-06T23:47:59.447,22.0,52.0,,,
2026-01-06T23:48:01.702,21.9,51.9,,,
2026-01-06T23:48:03.956,21.9,51.8,,,
2026-01-06T23:48:06.211,22.0,51.8,,,
2026-01-06T23:48:08.466,22.0,51.8,,,
2026-01-06T23:48:10.721,21.9,51.7,,,
2026-01-06T23:48:12.978,22.0,51.7,,,
2026-01-06T23:48:15.232,22.0,51.8,,,
2026-01-06T23:48:17.486,21.9,51.8,,,
2026-01-06T23:48:19.744,22.0,51.9,,,
2026-01-06T23:48:22.004,21.9,51.8,,,
2026-01-06T23:48:24.260,22.0,51.9,,,
2026-01-06T23:48:26.514,21.9,51.8,,,
2026-01-06T23:48:28.772,22.0,51.8,,,
2026-01-06T23:48:31.026,22.0,51.8,,,
2026-01-06T23:48:33.283,22.0,51.8,,,
2026-01-06T23:48:35.538,22.0,51.9,,,
2026-01-06T23:48:37.792,22.0,51.9,,,
2026-01-06T23:48:40.046,22.0,52.0,,,
2026-01-06T23:48:40.857,22.0,52.0,,,
2026-01-06T23:48:43.113,21.9,51.9,,,
2026-01-06T23:48:45.368,22.0,52.1,,,
2026-01-06T23:48:47.623,22.0,52.1,,,
2026-01-06T23:48:49.877,22.0,51.9,,,
2026-01-06T23:48:52.132,22.0,51.8,,,
2026-01-06T23:48:54.386,21.9,51.6,,,
2026-01-06T23:48:56.641,22.0,51.5,,,
2026-01-06T23:48:58.896,22.0,51.4,,,
2026-01-06T23:49:01.150,22.0,51.4,,,
2026-01-06T23:49:03.405,22.0,51.4,,,
2026-01-06T23:49:05.660,21.9,51.4,,,
2026-01-06T23:49:07.915,22.0,51.5,,,
2026-01-06T23:49:10.169,22.0,51.4,,,
2026-01-06T23:49:12.423,22.0,51.6,,,
2026-01-06T23:49:14.678,22.0,51.7,,,
2026-01-06T23:49:16.933,21.9,51.6,,,
2026-01-06T23:49:19.187,22.0,51.7,,,
2026-01-06T23:49:21.448,22.0,51.8,,,
2026-01-06T23:49:23.708,22.0,51.9,,,
2026-01-06T23:49:25.968,21.9,51.9,,,
2026-01-06T23:49:28.224,22.0,52.0,,,
2026-01-06T23:49:30.484,22.0,52.0,,,
2026-01-06T23:49:32.744,22.0,52.0,,,
2026-01-06T23:49:35.004,22.0,52.0,,,
2026-01-06T23:49:37.264,22.0,52.0,,,
2026-01-06T23:49:39.524,22.0,52.0,,,
2026-01-06T23:49:41.784,22.0,52.1,,,
2026-01-06T23:49:44.044,22.0,52.1,,,
2026-01-06T23:49:46.304,22.0,52.1,,,
2026-01-06T23:49:48.564,22.0,52.1,,,
2026-01-06T23:49:50.824,22.0,52.2,,,
2026-01-06T23:49:53.084,22.0,52.2,,,
2026-01-06T23:49:55.338,22.0,52.2,,,
2026-01-06T23:49:57.596,22.0,52.2,,,
2026-01-06T23:49:59.856,22.0,52.1,,,
2026-01-06T23:50:02.110,22.0,52.1,,,
2026-01-06T23:50:04.368,22.0,52.0,,,
2026-01-06T23:50:06.625,22.0,51.9,,,
2026-01-06T23:50:08.884,22.0,51.9,,,
2026-01-06T23:50:10.857,22.0,52.0,,,
2026-01-06T23:50:13.114,22.0,52.0,,,
2026-01-06T23:50:15.369,22.0,52.1,,,
2026-01-06T23:50:17.624,22.0,52.0,,,
2026-01-06T23:50:19.882,22.0,52.0,,,
2026-01-06T23:50:22.137,22.0,52.1,,,
2026-01-06T23:50:24.394,22.0,52.0,,,
2026-01-06T23:50:26.652,22.0,52.0,,,
2026-01-06T23:50:28.912,22.0,52.0,,,
2026-01-06T23:50:31.172,22.0,52.0,,,
2026-01-06T23:50:33.432,22.0,52.0,,,
2026-01-06T23:50:35.686,22.0,52.1,,,
2026-01-06T23:50:37.944,22.0,52.1,,,
2026-01-06T23:50:40.204,22.0,52.1,,,
2026-01-06T23:50:42.464,22.0,51.9,,,
2026-01-06T23:50:44.720,22.0,51.8,,,
2026-01-06T23:50:46.980,22.0,51.8,,,
2026-01-06T23:50:49.234,22.0,51.9,,,
2026-01-06T23:50:51.492,22.0,52.0,,,
2026-01-06T23:50:53.746,22.0,52.0,,,
2026-01-06T23:50:56.001,22.0,52.1,,,
2026-01-06T23:50:58.256,22.0,52.1,,,
2026-01-06T23:51:00.511,22.0,52.2,,,
2026-01-06T23:51:02.765,22.0,52.1,,,
2026-01-06T23:51:05.020,22.0,52.1,,,
2026-01-06T23:51:07.274,22.0,52.0,,,
2026-01-06T23:51:09.532,22.0,52.0,,,
2026-01-06T23:51:11.792,22.0,52.1,,,
2026-01-06T23:51:14.046,22.0,52.0,,,
2026-01-06T23:51:16.304,22.0,52.0,,,
2026-01-06T23:51:18.564,22.0,52.0,,,
2026-01-06T23:51:20.824,22.0,52.0,,,
2026-01-06T23:51:23.084,22.0,52.0,,,
2026-01-06T23:51:25.338,22.0,52.0,,,
2026-01-06T23:51:27.592,22.0,52.1,,,
2026-01-06T23:51:29.852,22.0,52.1,,,
2026-01-06T23:51:32.112,,,,,
2026-01-06T23:51:34.372,22.0,52.1,,,
2026-01-06T23:51:36.626,22.0,52.1,,,
2026-01-06T23:51:38.880,22.0,52.0,,,
2026-01-06T23:51:40.813,22.0,52.0,,,
2026-01-06T23:51:43.068,22.0,52.0,,,
2026-01-06T23:51:45.323,22.0,52.0,,,
2026-01-06T23:51:47.578,22.0,51.9,,,
2026-01-06T23:51:49.832,22.0,51.7,,,
2026-01-06T23:51:52.090,22.0,51.7,,,
2026-01-06T23:51:54.345,22.0,51.6,,,
2026-01-06T23:51:56.602,22.0,51.6,,,
2026-01-06T23:51:58.857,22.0,51.5,,,
2026-01-06T23:52:01.114,22.0,51.5,,,
2026-01-06T23:52:03.372,22.0,51.5,,,
2026-01-06T23:52:05.632,22.0,51.6,,,
2026-01-06T23:52:07.893,22.0,51.7,,,
2026-01-06T23:52:10.152,22.0,51.7,,,
2026-01-06T23:52:12.412,22.0,51.7,,,
2026-01-06T23:52:14.672,22.0,51.6,,,
2026-01-06T23:52:16.932,22.0,51.5,,,
2026-01-06T23:52:19.187,22.0,51.4,,,
2026-01-06T23:52:21.441,22.0,51.4,,,
2026-01-06T23:52:23.695,22.0,51.4,,,
2026-01-06T23:52:25.956,22.0,51.4,,,
2026-01-06T23:52:28.210,22.0,51.5,,,
2026-01-06T23:52:30.465,22.0,51.6,,,
2026-01-06T23:52:32.719,22.0,51.7,,,
2026-01-06T23:52:34.973,22.0,51.8,,,
2026-01-06T23:52:37.228,22.0,51.9,,,
2026-01-06T23:52:39.483,22.0,52.0,,,
2026-01-06T23:52:41.737,22.0,52.0,,,
2026-01-06T23:52:43.996,22.0,52.0,,,
2026-01-06T23:52:46.251,22.0,51.9,,,
2026-01-06T23:52:48.505,22.0,51.9,,,
2026-01-06T23:52:50.760,22.0,52.0,,,
2026-01-06T23:52:53.015,22.0,52.0,,,
2026-01-06T23:52:55.270,22.0,52.1,,,
