timestamp,temperature_C,humidity,accel_x_m_s2,accel_y_m_s2,accel_z_m_s2,anomaly_flag,anomaly_type
2026-01-09T00:00:00.229,22.4,54.6,-0.7148558119769975,-10.007981367677965,51.82704636833231,1,adxl_spike
2026-01-09T00:00:02.484,22.4,54.7,-0.2353596,-10.387783749361112,11.2188076,1,adxl_spike
2026-01-09T00:00:04.740,22.4,54.7,-0.6072432136248265,-2.157463,11.2580342,1,adxl_spike
2026-01-09T00:00:06.995,22.4,54.6,-0.30450364368113236,-5.684068015381138,29.333851007949082,1,adxl_spike
2026-01-09T00:00:09.251,22.4,54.6,-0.8816486174956095,-9.521805068952583,50.25397119724975,1,adxl_spike
2026-01-09T00:00:11.507,22.4,54.6,-0.4351451221617949,-4.873625368212103,24.977330012087027,1,adxl_spike
2026-01-09T00:00:13.762,22.4,54.6,-0.5983892307715817,-6.462603692333082,34.46721969244311,1,adxl_spike
2026-01-09T00:00:16.018,22.4,54.6,-0.5801588428025536,-6.033651965146557,33.18508580830606,1,adxl_spike
2026-01-09T00:00:18.274,22.4,54.6,-0.7396381039194476,-2.157463,11.2580342,1,adxl_spike
2026-01-09T00:00:20.530,22.4,54.5,-0.1176798,-2.1182364,11.2188076,0,none
2026-01-09T00:00:22.786,22.4,54.6,-0.196133,-2.1182364,11.2972608,0,none
2026-01-09T00:00:25.041,22.4,54.6,-0.196133,-2.1966896,11.3364874,0,none
2026-01-09T00:00:27.297,22.4,54.5,-0.0784532,-2.157463,11.2580342,0,none
2026-01-09T00:00:29.552,22.4,54.5,-0.196133,-2.157463,11.2972608,0,none
2026-01-09T00:00:31.808,22.4,54.5,-0.1569064,-2.1182364,11.2188076,0,none
2026-01-09T00:00:34.064,22.4,54.5,-0.1176798,-2.1966896,11.2580342,0,none
2026-01-09T00:00:36.319,22.4,54.5,-0.196133,-2.157463,11.2972608,0,none
2026-01-09T00:00:38.575,22.4,54.5,-0.1176798,-2.157463,11.3364874,0,none
2026-01-09T00:00:40.831,22.4,54.5,-0.196133,-2.1966896,11.2188076,0,none
2026-01-09T00:00:43.086,22.4,54.5,-0.1176798,-2.1966896,11.2580342,0,none
2026-01-09T00:00:45.342,22.4,54.4,-0.0784532,-2.2359162,11.375713999999999,0,none
2026-01-09T00:00:47.598,22.4,54.4,-0.1569064,-2.1182364,11.1403544,0,none
2026-01-09T00:00:49.854,22.4,54.4,-0.1569064,-2.157463,11.414940599999998,0,none
2026-01-09T00:00:52.109,22.4,54.4,-0.1569064,-2.0790097999999997,11.2188076,0,none
2026-01-09T00:00:54.365,22.4,54.4,-0.196133,-2.1966896,11.375713999999999,0,none
2026-01-09T00:00:56.621,22.4,54.5,-0.196133,-2.157463,11.2188076,0,none
2026-01-09T00:00:58.877,22.4,54.5,-0.1569064,-2.1966896,11.3364874,0,none
2026-01-09T00:01:01.132,22.4,54.6,-0.196133,-2.157463,11.2188076,0,none
2026-01-09T00:01:03.388,22.4,54.6,-0.1569064,-2.1966896,11.375713999999999,0,none
2026-01-09T00:01:05.643,22.4,54.7,-0.1176798,-2.1182364,11.179581,0,none
2026-01-09T00:01:07.899,22.4,54.7,-0.1176798,-2.2359162,11.2972608,0,none
2026-01-09T00:01:10.155,22.4,54.7,-0.196133,-2.157463,11.3364874,0,none
2026-01-09T00:01:12.410,22.4,54.7,-0.196133,-2.157463,11.375713999999999,0,none
2026-01-09T00:01:14.666,22.4,54.7,-0.1569064,-2.2359162,11.2580342,0,none
2026-01-09T00:01:16.921,22.4,54.7,-0.2353596,-2.157463,11.3364874,0,none
2026-01-09T00:01:19.177,22.4,54.6,-0.1176798,-2.157463,11.179581,0,none
2026-01-09T00:01:21.433,22.4,54.6,-0.1176798,-2.1966896,11.375713999999999,0,none
2026-01-09T00:01:23.688,22.4,54.6,-0.1569064,-2.0790097999999997,11.179581,0,none
2026-01-09T00:01:25.944,22.4,54.7,-0.1176798,-2.1966896,11.375713999999999,0,none
2026-01-09T00:01:28.199,22.4,54.7,-0.0784532,-2.157463,11.2580342,0,none
2026-01-09T00:01:30.455,22.4,54.8,-0.1569064,-2.2359162,11.375713999999999,0,none
