timestamp,temperature_C,humidity,pir_motion
2025-12-28T00:00:02.068333,18.0,63.3,1
2025-12-28T00:00:04.323053,18.0,63.3,1
2025-12-28T00:00:06.579813,18.0,63.4,1
2025-12-28T00:00:08.834334,18.0,63.4,1
2025-12-28T00:00:11.089201,18.0,63.4,1
2025-12-28T00:00:13.343853,18.0,63.3,1
2025-12-28T00:00:15.598459,18.0,63.4,1
2025-12-28T00:00:17.853416,18.1,63.4,1
2025-12-28T00:00:20.108085,18.0,63.3,1
2025-12-28T00:00:22.362682,18.1,63.4,1
2025-12-28T00:00:24.617420,18.0,63.3,1
2025-12-28T00:00:26.872076,18.0,63.3,1
2025-12-28T00:00:29.126438,18.0,63.4,1
2025-12-28T00:00:31.381223,18.0,63.4,1
2025-12-28T00:00:33.635792,18.0,63.3,1
2025-12-28T00:00:35.890323,18.1,63.4,0
2025-12-28T00:00:38.145107,18.0,63.3,0
2025-12-28T00:00:40.399666,18.0,63.3,0
2025-12-28T00:00:42.654147,18.0,63.3,0
2025-12-28T00:00:44.908913,18.0,63.3,0
2025-12-28T00:00:47.163556,18.0,63.3,0
2025-12-28T00:00:49.418073,18.0,63.3,1
2025-12-28T00:00:51.672875,18.0,63.3,1
2025-12-28T00:00:53.927423,18.1,63.4,1
2025-12-28T00:00:56.181826,18.0,63.3,1
2025-12-28T00:00:58.436109,18.0,63.3,1
2025-12-28T00:01:00.690765,18.0,63.3,1
2025-12-28T00:01:02.945283,18.0,63.3,1
2025-12-28T00:01:05.199992,18.0,63.3,1
2025-12-28T00:01:07.454584,18.0,63.3,1
2025-12-28T00:01:09.709242,18.0,63.3,1
2025-12-28T00:01:11.964019,18.0,63.3,1
2025-12-28T00:01:14.218465,18.0,63.3,1
2025-12-28T00:01:16.473057,18.1,63.4,1
2025-12-28T00:01:18.727408,18.0,63.3,1
2025-12-28T00:01:20.981535,18.0,63.3,1
2025-12-28T00:01:23.235746,18.1,63.3,1
2025-12-28T00:01:25.490334,18.1,63.4,1
2025-12-28T00:01:27.745007,18.1,63.3,1
2025-12-28T00:01:29.999466,18.0,63.3,1
2025-12-28T00:01:32.254181,18.0,63.3,0
2025-12-28T00:01:34.508790,18.0,63.3,0
2025-12-28T00:01:36.763273,18.0,63.3,0
2025-12-28T00:01:39.017980,18.0,63.3,0
2025-12-28T00:01:41.272548,18.0,63.3,0
2025-12-28T00:01:43.527019,18.0,63.4,0
2025-12-28T00:01:45.781432,18.0,63.3,0
2025-12-28T00:01:48.035944,18.0,63.3,1
2025-12-28T00:01:50.290203,18.0,63.3,1
2025-12-28T00:01:52.544900,18.0,63.3,1
2025-12-28T00:01:54.799582,18.0,63.3,1
2025-12-28T00:01:57.053655,18.0,63.3,1
2025-12-28T00:01:59.308392,18.0,63.3,1
2025-12-28T00:02:01.565131,18.0,63.3,1
2025-12-28T00:02:03.819656,18.0,63.3,1
